The Unconscious,Sigmund Freud,1890,
In the Heart of the Sea,Nathaniel Philbrick,2001,
Lives of the Caesars,Suetonius,121,
The Journal of Jules Renard,Jules Renard,1925,
Up from Slavery,Booker T. Washington,1901,
Institutes of the Christian Religion,John Calvin,1536,
The Praise of Folly,Erasmus,1509,
The Age of Reform,Richard Hofstadter,1955,
The Frontier in American History,Frederick Jackson Turner,1920,
Jefferson and His Time,Dumas Malone,1948,
Slouching Towards Bethlehem,Joan Didion,1968,
A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,1997,
The Year of Magical Thinking,Joan Didion,2005,
Nature and Destiny of Man,Reinhold Niebuhr,1943,
Up in the Old Hotel,Joseph Mitchell,1992,
Henry James,Leon Edel,1963,
On the Genealogy of Morality,Friedrich Nietzsche,1887,
Main Currents in American Thought,Vernon L Parrington,1927,
On Writing,Stephen King,2000,
The Snow Leopard,Peter Matthiessen,1978,
Nadja,Andre Breton,1928,
Testament Of Youth,Vera Brittain,1933,
On the Revolutions of the Heavenly Spheres,Nicolaus Copernicus,1543,
On Liberty,John Stuart Mill,1859,
A Modest Proposal and Other Satirical Works,Jonathan Swift,1729,
Hippocratic Corpus,Hippocrates,-300,
Genetics and the Origin of Species,Theodosius Dobzhansky,1937,
The Harmony of the Worlds,Johannes Kepler,1619,
Enneads,Plotinus,250,
Euclid's Elements,Euclid,-280,
The Interesting Narrative of the Life of Olaudah Equiano,Olaudah Equiano,1798,
Desert Solitaire,Edward Abbey,1968,
Truman,David McCullough,1992,
The Worst Journey in the World,Robert Falcon Scott,1922,
The George Sand-Gustave Flaubert Letters,Gustave Flaubert,1921,
Patriotic Gore,Edmund Wilson,1962,
Words,Jean Paul Sartre,1963,
An Enquiry Concerning Human Understanding,David Hume,1748,
Apology,Plato,-399,
The Face of Battle,John Keegan,1976,
Let Us Now Praise Famous Men,James Agee,1941,
The Affluent Society,John Kenneth Galbraith,1958,
Life on the Mississippi,Mark Twain,1883,
Being and Time,Martin Heidegger,1927,
The Power Broker,Robert Caro,1974,
Profiles in Courage,John F. Kennedy,1955,
Future Shock: The Third Wave,Alvin Toffler,1980,
Two Treatises of Government,John Locke,1689,
The Hedgehog and the Fox,Isaiah Berlin,1953,
Persepolis,Marjane Satrapi,2000,
The Bookseller of Kabul,Asne Seierstad,2003,
The City in History,Lewis Mumford,1961,
Letters to a Young Poet,Rainer Maria Rilke,1934,
Good-Bye to All That,Robert Graves,1929,
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,2007,
The Guns of August,Barbara Tuchman,1962,
Hiroshima,John Hersey,1946,
Essays of E. B. White,E. B. White,1977,
Eminent Victorians,Lytton Strachey,1918,
Tristes Tropiques,Claude Levi-Strauss,1955,
The Voyage of the Beagle,Charles Darwin,1839,
Hard Times: An Oral History of the Great Depression,Studs Terkel,1970,
The Tipping Point,Malcolm Gladwell,2000,
Rights of Man,Thomas Paine,1791,
Reveille in Washington,Margaret Leech,1942,
The Man Who Mistook His Wife for a Hat,Oliver Sacks,1985,
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1974,
Poetics,Aristotle,-335,
Man's Search for Meaning,Victor Frankl,1984,
The Mismeasure of Man,Stephen Jay Gould,1981,
A Bright Shining Lie,Neil Sheehan,1988,
Night,Elie Wiesel,1960,
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2011,
The Ants,E. O. Wilson and Bert Holldobler,1990,
Quotations from Chairman Mao,Mao,1964,
Hell's Angels,Hunter S. Thompson,1965,
The Habit of Being,Flannery O'Connor,1978,
Voices from Chernobyl,Svetlana Alexievich,2005,
The Age of Jackson,"Arthur Schlesinger, Jr.",1945,
Children of Crisis,Robert Coles,1967,
The Art of Memory,Frances A. Yates,1966,
The Souls of Black Folk,W.E.B. Du Bois,1903,
Present at the Creation,Dean Acheson,1969,
The American Language,H. L. Mencken,1919,
The Looming Tower,Lawrence Wright,2006,
Roughing It,Mark Twain,1872,
The Lives of a Cell,Lewis Thomas,1974,
"Guns, Germs, and Steel",Jared Diamond,1997,
The Autobiography of Benjamin Franklin,Benjamin Franklin,1771,
I Ching,Unknown,-1400,
Common Ground,J. Anthony Lukas,1985,
Notes of a Native Son,James Baldwin,1955,
The House of Morgan,Ron Chernow,1990,
The Wealth of Nations,Adam Smith,1776,
Pilgrim at Tinker Creek,Annie Dillard,1975,
Principia Mathematica,Issac Newton,1687,
James Joyce,Richard Ellmann,1983,
Seven Years in Tibet,Heinrich Harrer,1952,
The Rise of Theodore Roosevelt,Edmund Morris,1979,
Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,1995,
Either Or,Soren Kierkegaard,1843,
The Rise and Fall of the Third Reich,William L. Shirer,1960,
The Social Contract,Jean-Jacques Rousseau,1762,
"Godel, Escher, Bach",Douglas Hofstadter,1979,
The Making of the English Working Class,E. P. Thompson,1963,
Dreams from My Father,Barack Obama,2004,
Birthday Letters,Ted Hughes,1998,
A Heartbreaking Work of Staggering Genius,Dave Eggers,2000,
North,Seamus Heaney,1975,
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,2005,
Memoirs of Cardinal De Retz,Cardinal de Retz,1717,
The Memoirs of the Duke of Saint-Simon on the Reign of Louis XIV. and the Regency,Louis de Rouvroy Saint-Simon (duc de),1755,
Freakonomics,Steven D. Levitt and Stephen J. Dubner,2005,
Great Bridge,David McCullough,1972,
Me Talk Pretty One Day,David Sedaris,2000,
"Eats, Shoots and Leaves",Lynne Truss,2003,
Reading Lolita in Tehran,Azar Nafisi,2003,
The Selfish Gene,Richard Dawkins,1976,
The Liars' Club,Mary Karr,1995,
Bad Science,Ben Goldacre,2008,
Parting the Waters,Taylor Branch,1988,
London: The Biography,Peter Ackroyd,2000,
How to Cook,Delia Smith,1971,
All the President's Men,"Bob Woodward, Carl Bernstein",1974,
The Omnivore's Dilemma,Michael Pollan,2006,
Notes from a Small Island,Bill Bryson,1995,
On War,Carl Von Clausewitz,1832,
The Devil In The White City,Erik Larson,2003,
Citizens,Simon Schama,1989,
The Life of Charlotte BrontÃ«,Elizabeth Gaskell,1857,
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010,
The Haunted Land,Tina Rosenberg,1995,
Master of the Senate,Robert Caro,2002,
Russia Leaves the War,George F. Kennan,1956,
The Hemingses of Monticello,Annette Gordon-Reed,2008,
The Path to Power,Robert Caro,1982,
Edith Wharton: A Biography,R. W. B. Lewis,1975,
The Swerve: How the World Became Modern,Stephen Greenblatt,2011,
A Stillness at Appomattox,Bruce Catton,1953,
Common Sense,Thomas Paine,1775,
The Revolt of the Masses,JosÃ© Ortega y Gasset,1929,
The Great War and Modern Memory,Paul Fussell,1975,
This Boy's Life,Tobias Wolff,1989,
West With the Night,Beryl Markham,1942,
Why We Can't Wait,"Martin Luther King, Jr.",1964,
Rationalism in Politics,Michael Oakeshott,1962,
Zeitoun,Dave Eggers,2009,
Economy and Society,Max Weber,1922,
The Journalist and the Murderer,Janet Malcolm,1990,
Shadow and ACT,Ralph Ellison,1964,
The Unsettling of America,Wendell Berry,1960,
The Tao of Physics,Fritjof Capra,1975,
Titi Livi Ab urbe condita libri,Livy,-9,
Sociobiology,Edward O. Wilson,1975,
Centesimus Annus,Pope John Paul II,1991,
The Pursuit of the Millennium,Norman Cohn,1957,
The Great Terror,Robert Conquest,1968,
Chronicles of Wasted Time,Malcolm Muggeridge,1972,
Maus,Art Spiegelman,1986,
The Everlasting Man,G. K. Chesterton,1925,
An Essay Concerning Human Understanding,John Locke,1690,
Maximes,Francois duc de La Rochefoucauld,1680,
Les Caracteres,Jean de La Bruyere,1688,
Lettres de madame de Sauvigne,Marie de Rabutin-Chantal marquise de Sauvigne,1696,
Radical Chic and Mau-Mauing the Flak Catchers,Tom Wolfe,1970,
Love's Work,Gillian Rose,1995,
Reveries of a Solitary Walker,Jean-Jacques Rousseau,1782,
"Emile, or On Education",Jean-Jacques Rousseau,1762,
The True History of the Conquest of New Spain,Bernal Díaz del Castillo,1576,
Memoirs of My Nervous Illness,Daniel Paul Schreber,1903,
Borstal Boy,Brendan Behan,1958,
Thoughts for the Times on War and Death,Sigmund Freud,1952,
The Origin and Development of Psycho-Analysis,Sigmund Freud,1952,
An Introduction to Metaphysics,Henri Bergson,1903,
The Problems of Philosophy,Bertrand Russell,1912,
An Introduction to Mathematics,Alfred North Whitehead,1910,
What Is Life?,Erwin Schrodinger,1929,
New Introductory Lectures on Psycho-Analysis,Sigmund Freud,1933,
The Expanding Universe,Arthur Eddington,1948,
The Nature of Life,C. H. Waddington,1961,
The Acquisitive Society,R. H. Tawney,1921,
The Drowned and the Saved,Primo Levi,1986,
Almagest,Ptolemy,150,
The Theory of the Leisure Class,Thorstein Veblen,1899,
Cataract,Mykhaylo Osadchy,1971,
Physics and Philosophy,Werner Heisenberg,1934,
The Ego and the Id,Sigmund Freud,1923,
Promise at Dawn,Romain Gary,1960,
"Inhibitions, Symptoms, and Anxiety",Sigmund Freud,1893,
Experience in Education,John Dewey,1938,
Atomic Theory and the Description of Nature,Niels Bohr,1952,
The Provincial Letters,Blaise Pascal,1656,
Structural Anthropology,Claude Levi-Strauss,1963,
Epitome of Copernican Astronomy,Johannes Kepler,1617,
Group Psychology and the Analysis of the Ego,Sigmund Freud,1922,
The Rebel,Albert Camus,1951,
Storm of Steel,Ernst Junger,1920,
Scientific Autobiography and Other Papers,Max Planck,1949,
On Food and Cooking: The Science and Lore of the Kitchen,Harold McGee,1984,
Pavel's Letters,Monika Maron,1999,
Discussion with Einstein on Epistemology,Niels Bohr,1965,
"Observations on ""Wild"" Psycho-Analysis",Sigmund Freud,1952,
Hideous Kinky,Esther Freud,1992,
Beyond the Pleasure Principle,Sigmund Freud,1920,
Selected Papers on Hysteria,Sigmund Freud,1912,
Repression,Sigmund Freud,1950,
On Narcissism,Sigmund Freud,1914,
Essays in Sociology,Max Weber,1958,
Wittgenstein's Nephew,Thomas Bernhard,1982,
Down Second Avenue,Es'kia Mphahlele,1959,https://www.penguinrandomhouse.com/books/311029/down-second-avenue-by-eskia-mphahlele/
Science and the Modern World,Alfred North Whitehead,1925,
Science and Hypothesis,Henri Poincare,1905,
What Is Metaphysics?,Martin Heidegger,1930,
Instincts and Their Vicissitudes,Sigmund Freud,1915,
The Future Prospects of Psycho-Analytic Therapy,Sigmund Freud,1910,
The Word of God and the Word of Man,Karl Barth,1952,
A General Introduction to Psycho-Analysis,Sigmund Freud,1952,
The Memory of Fire Trilogy,Eduardo Galeano,1986,
Before Night Falls,Reinaldo Arenas,1992,
Life is a Carawanserai Has Two Doors I Went in One I Came out the Other,Emine Sevgi Ozdamar,1992,https://en.wikipedia.org/wiki/Emine_Sevgi_%C3%96zdamar
The Unheavenly City,Edward C. Banfield,1970,
Critique of Pure Reason,Immanuel Kant,1781,
The End of History and the Last Man,Francis Fukuyama,1992,
Correspondence,Voltaire,1778,
Duke of Deception,Geoffrey Wolff,1979,
The Works of Max Beerbohm,Max Beerbohm,1896,
The Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker, and Ethan Becker",1936,
Hollywood Babylon,Kenneth Anger,1959,
Essential Cuisine,Michel Bras,2002,
The Americans,Robert Frank,1958,
The Emperor,Ryszard Kapuscinski,1978,
Larousse Gastronomique: The World's Greatest Culinary Encyclopedia,Joel Robuchon,2009,
El Bulli: 1998-2002,"Ferran Adria, Juli Soler, Albert Adria",2002,
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Michael Azerrad,2001,
Philosophical Writings,Novalis,1801,
The Nicomachean Ethics,Aristotle,-400,
God and Man at Yale,"William F. Buckley, Jr.",1951,
Ideas Have Consequences,Richard M. Weaver,1948,
The Economy of Cities,Jane Jacobs,1969,
The Closing of the American Mind,Allan Bloom,1987,
Ethnic America,Thomas Sowell,1981,
A Vindication of the Rights of Woman,Mary Wollstonecraft,1798,
Three Case Histories,Sigmund Freud,1963,
The Struggle for Europe,Chester Wilmot,1952,
Systematic Theology,Wolfhart Pannenberg,1988,
The Campaign of the Marne,Sewell Tyng,1925,
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,1921,
Insight: A Study of Human Understanding,Bernard Lonergan,1957,
Disraeli,Robert Blake,1967,
Democracy and Leadership,Irving Babbitt,1924,
The Machiavellians,James Burnham,1943,
Reflections of a Russian Statesman,Konstantin P. Pobedonostsev,1898,
A Dictionary of the English Language,Samuel Johnson,1755,
The Armies of the Night,Norman Mailer,1968,
The ABC of Reading,Ezra Pound,1934,
The Spirit of St. Louis,Charles Lindbergh,1953,
Second World War,John Keegan,1990,
The Making of Homeric Verse,Milman Parry,1971,
Care of the Soul: Guide for Cultivating Depth and Sacredness,Thomas Moore,1992,
The Strange Ride of Rudyard Kipling,Angus Wilson,1977,
The Noonday Demon,Andrew Solomon,2001,
Scrutiny,F. R. Leavis,1947,
The Edge of the Sword,Charles De Gaulle,1960,
Slavery by Another Name,Douglas A. Blackmon,2008,
Bureaucracy,Ludwig von Mises,1945,
The Spirit Catches You and You Fall Down,Anne Fadiman,1997,
Mary Chestnut's Civil War,Mary Chesnut,1982,
Backlash,Susan Faludi,1991,
"Far From the Tree: Parents, Children and the Search for Identity",Andrew Solomon,2012,
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,2010,
We Wish to Inform You That Tomorrow We Will Be Killed With Our Families: Stories from Rwanda,Philip Gourevitch,1998,
Orientalism,Edward W. Said,1978,
The Forever War,Dexter Filkins,2008,
United States: Essays 1952-1992,Gore Vidal,1993,
Anti-intellectualism in American Life,Richard Hofstadter,1963,
The Age of Wonder: How the Romantic Generation Discovered the Beauty and Terror of Science,Richard Holmes,2008,
Growing Up,Russell Baker,1982,
The Good War,Studs Terkel,1984,
A Distant Mirror,Barbara Tuchman,1978,
John Adams,David McCullough,2001,
Arctic Dreams,Barry Lopez,1986,
"The Making of the President, 1960",Theodore White,1961,
Balzac,Stefan Zweig,1946,
The Road from Coorain,Jill Ker Conway,1989,
The Good Society,Walter Lippmann,1937,
The Christian Tradition,Jaroslav Pelikan,1973,
Strange Defeat,Marc Bloch,1944,
Looking Back,Norman Douglas,1998,
Mont-Saint-Michel and Chartres,Henry Adams,1918,
Poetry and the Age,Randall Jarrell,1953,
Love in the Western World,Denis de Rougemont,1939,
Wealth and Poverty,George Gilder,1981,
Darwin's Black Box,Michael J. Behe,1996,
The Way the World Works,Jude Wanniski,1978,
To the Finland Station,Edmund Wilson,1940,
Civilisation,Kenneth Clark,1969,
The Russian Revolution,Richard Pipes,1990,
The Idea of History,R. G. Collingwood,1946,
The Last Lion,William Manchester,1988,
The Starr Report,Kenneth W. Starr,1998,
Mencius,Mencius,-400,
The Fire Next Time,James Baldwin,1963,
Basic Documents in American History,Richard Brandon Morris,1956,
The Artist's Way,Julia Cameron,1992,
The Meaning of Truth,William James,1909,
Democratic Vistas,Walt Whitman,1871,
The Voices of Marrakesh: A Record of a Visit,Elias Canetti,1978,
Records of the Grand Historian,Sima Qian,-91,
Kafka's Other Trial,Elias Canetti,1974,
The Subjection of Women,John Stuart Mill,1869,
The Pillow Book,Sei Shonagon,1002,
A Fire on the Moon,Norman Mailer,1970,
Geography,Ptolemy,150,
An Autobiography of Anthony Trollope,Anthony Trollope,1883,
Narrative of the Life of Frederick Douglass,Frederick Douglass,1845,
The Argonauts,Maggie Nelson,2015,
A History of Philosophy,Frederick Charles Copleston,1946,
Understanding Poetry,Cleanth Brooks and Robert Penn Warren,1938,
Prejudices,H. L. Mencken,1919,
Natural Right and History,Leo Strauss,1953,
Lost in the Cosmos,Walker Percy,1983,
The Stripping of the Altars,Eamon Duffy,1992,
The Whig Interpretation of History,Herbert Butterfield,1931,
The New Science of Politics,Eric Voegelin,1952,
The Triumph of the Therapeutic,Philip Rieff,1966,
Persons and Places,George Santayana,1944,
After Virtue,Alasdair MacIntyre,1981,
Religion and the Rise of Western Culture,Christopher Dawson,1950,
Teacher in America,Jacques Barzun,1945,
The Great Chain of Being,Arthur Lovejoy,1936,
"Protestant, Catholic, Jew",Will Herberg,1955,
Galapagos: World's End,William Beebe,1924,
Napoleon,Vincent Cronin,1971,
The Two-Ocean War: A Short History of the United States Navy in the Second World War,Samuel Eliot Morison,1963,
The Name Above the Title: An Autobiography,Frank Capra,1971,
Microbe Hunters,Paul de Kruif,1926,
Escape from Freedom,Erich Fromm,1941,
Roosevelt: The Lion and the Fox (1882â€“1940),James MacGregor Burns,1956,
The Reason Why,Cecil Woodham-Smith,1953,
One Two Three . . . Infinity: Facts and Speculations of Science,George Gamow,1947,
Phaedo,Plato,-399,
